profile,run_id,itnum,ncpu,ngpu,function,time_ms
profile,12441872,2,1,1,calcVC,1805.719
profile,12441872,1,1,1,invMMt,319.746
profile,12441872,1,1,1,find_qtl,34673.457
profile,12441872,1,1,1,constructX,0.078
profile,12441872,1,1,1,calc_extBIC,3072.213
profile,12441872,1,1,1,calcVC,2029.253
profile,12441872,1,1,1,MMt,9129.371
profile,12441869,4,14,1,find_qtl,30175.175
profile,12441869,4,14,1,constructX,4671.004
profile,12441869,4,14,1,calc_extBIC,1829.749
profile,12441869,4,14,1,calcVC,1031.35
profile,12441869,3,14,1,find_qtl,30418.553
profile,12441869,3,14,1,constructX,4671.182
profile,12441869,3,14,1,calc_extBIC,1797.564
profile,12441869,3,14,1,calcVC,1061.557
profile,12441869,2,14,1,find_qtl,30592.078
profile,12441869,2,14,1,constructX,4694.084
profile,12441869,2,14,1,calc_extBIC,1922.104
profile,12441869,2,14,1,calcVC,1220.729
profile,12441869,1,14,1,invMMt,181.354
profile,12441869,1,14,1,find_qtl,31004.108
profile,12441869,1,14,1,constructX,0.08
profile,12441869,1,14,1,calc_extBIC,1864.595
profile,12441869,1,14,1,calcVC,1437.452
profile,12441869,1,14,1,MMt,9276.423
profile,12441868,4,12,1,find_qtl,33268.428
profile,12441868,4,12,1,constructX,5121.246
profile,12441868,4,12,1,calc_extBIC,1979.475
profile,12441868,4,12,1,calcVC,1217.447
profile,12441868,3,12,1,find_qtl,33435.005
profile,12441868,3,12,1,constructX,4897.548
profile,12441868,3,12,1,calc_extBIC,1913.369
profile,12441868,3,12,1,calcVC,1217.625
profile,12441868,2,12,1,find_qtl,32924.911
profile,12441868,2,12,1,constructX,4914.064
profile,12441868,2,12,1,calc_extBIC,2068.606
profile,12441868,2,12,1,calcVC,1402.5
profile,12441868,1,12,1,invMMt,235.999
profile,12441868,1,12,1,find_qtl,33335.961
profile,12441868,1,12,1,constructX,0.136
profile,12441868,1,12,1,calc_extBIC,2065.764
profile,12441868,1,12,1,calcVC,1658.273
profile,12441868,1,12,1,MMt,9778.874
profile,12441867,4,10,1,find_qtl,25748.649
profile,12441867,4,10,1,constructX,3119.948
profile,12441867,4,10,1,calc_extBIC,1762.009
profile,12441867,4,10,1,calcVC,987.929
profile,12441867,3,10,1,find_qtl,25484.926
profile,12441867,3,10,1,constructX,3130.864
profile,12441867,3,10,1,calc_extBIC,1750.002
profile,12441867,3,10,1,calcVC,989.845
profile,12441867,2,10,1,find_qtl,25750.592
profile,12441867,2,10,1,constructX,3128.203
profile,12441867,2,10,1,calc_extBIC,1832.285
profile,12441867,2,10,1,calcVC,1157.997
profile,12441867,1,10,1,invMMt,185.966
profile,12441867,1,10,1,find_qtl,26068.419
profile,12441867,1,10,1,constructX,0.084
profile,12441867,1,10,1,calc_extBIC,1800.969
profile,12441867,1,10,1,calcVC,1377.149
profile,12441867,1,10,1,MMt,7470.053
profile,12441866,4,8,1,find_qtl,32331.456
profile,12441866,4,8,1,constructX,4926.836
profile,12441866,4,8,1,calc_extBIC,1884.262
profile,12441866,4,8,1,calcVC,1056.122
profile,12441866,3,8,1,find_qtl,32132.346
profile,12441866,3,8,1,constructX,4927.226
profile,12441866,3,8,1,calc_extBIC,1846.028
profile,12441866,3,8,1,calcVC,1067.879
profile,12441866,2,8,1,find_qtl,32355.975
profile,12441866,2,8,1,constructX,4933.33
profile,12441866,2,8,1,calc_extBIC,1947.63
profile,12441866,2,8,1,calcVC,1212.207
profile,12441866,1,8,1,invMMt,187.582
profile,12441866,1,8,1,find_qtl,33242.085
profile,12441866,1,8,1,constructX,0.079
profile,12441866,1,8,1,calc_extBIC,1982.805
profile,12441866,1,8,1,calcVC,1465.173
profile,12441866,1,8,1,MMt,9452.514
profile,12441865,4,4,1,find_qtl,32152.499
profile,12441865,4,4,1,constructX,4711.265
profile,12441865,4,4,1,calc_extBIC,2001.247
profile,12441865,4,4,1,calcVC,1143.085
profile,12441865,3,4,1,find_qtl,31233.815
profile,12441865,3,4,1,constructX,4695.242
profile,12441865,3,4,1,calc_extBIC,1962.144
profile,12441865,3,4,1,calcVC,1149.708
profile,12441865,2,4,1,find_qtl,31291.926
profile,12441865,2,4,1,constructX,4694.887
profile,12441865,2,4,1,calc_extBIC,2098.692
profile,12441865,2,4,1,calcVC,1301.961
profile,12441865,1,4,1,invMMt,259.377
profile,12441865,1,4,1,find_qtl,31601.064
profile,12441865,1,4,1,constructX,0.085
profile,12441865,1,4,1,calc_extBIC,2056.991
profile,12441865,1,4,1,calcVC,1701.302
profile,12441865,1,4,1,MMt,9471.388
profile,12441864,4,2,1,find_qtl,31622.633
profile,12441864,4,2,1,constructX,4602.12
profile,12441864,4,2,1,calc_extBIC,2357.728
profile,12441864,4,2,1,calcVC,1308.418
profile,12441864,3,2,1,find_qtl,33526.563
profile,12441864,3,2,1,constructX,4595.136
profile,12441864,3,2,1,calc_extBIC,2345.51
profile,12441864,3,2,1,calcVC,1303.918
profile,12441864,2,2,1,find_qtl,31265.286
profile,12441864,2,2,1,constructX,4609.232
profile,12441864,2,2,1,calc_extBIC,2439.902
profile,12441864,2,2,1,calcVC,1463.334
profile,12441864,1,2,1,invMMt,252.796
profile,12441864,1,2,1,find_qtl,34245.809
profile,12441864,1,2,1,constructX,0.078
profile,12441864,1,2,1,calc_extBIC,2393.005
profile,12441864,1,2,1,calcVC,1695.217
profile,12441864,1,2,1,MMt,9152.982
profile,12441863,4,1,1,find_qtl,34706.883
profile,12441863,4,1,1,constructX,4466.094
profile,12441863,4,1,1,calc_extBIC,3102.837
profile,12441863,4,1,1,calcVC,1703.752
profile,12441863,3,1,1,find_qtl,34782.947
profile,12441863,3,1,1,constructX,4487.697
profile,12441863,3,1,1,calc_extBIC,3071.478
profile,12441863,3,1,1,calcVC,1717.348
profile,12441863,2,1,1,find_qtl,34728.372
profile,12441863,2,1,1,constructX,4473.507
profile,12441863,2,1,1,calc_extBIC,3144.922
profile,12441863,2,1,1,calcVC,1846.382
profile,12441863,1,1,1,invMMt,331.86
profile,12441863,1,1,1,find_qtl,34737.788
profile,12441863,1,1,1,constructX,0.078
profile,12441863,1,1,1,calc_extBIC,3150.009
profile,12441863,1,1,1,calcVC,2055.047
profile,12441863,1,1,1,MMt,8998.046
profile,12441861,4,14,1,find_qtl,25463.003
profile,12441861,4,14,1,constructX,3114.656
profile,12441861,4,14,1,calc_extBIC,1693.808
profile,12441861,4,14,1,calcVC,939.331
profile,12441861,3,14,1,find_qtl,25293.312
profile,12441861,3,14,1,constructX,3119.327
profile,12441861,3,14,1,calc_extBIC,1731.987
profile,12441861,3,14,1,calcVC,972.459
profile,12441861,2,14,1,find_qtl,25650.153
profile,12441861,2,14,1,constructX,3121.582
profile,12441861,2,14,1,calc_extBIC,1805.918
profile,12441861,2,14,1,calcVC,1140.32
profile,12441861,1,14,1,invMMt,183.046
profile,12441861,1,14,1,find_qtl,25824.455
profile,12441861,1,14,1,constructX,0.084
profile,12441861,1,14,1,calc_extBIC,1781.813
profile,12441861,1,14,1,calcVC,1366.376
profile,12441861,1,14,1,MMt,7460.039
profile,12441860,4,12,1,find_qtl,30895.05
profile,12441860,4,12,1,constructX,4592.265
profile,12441860,4,12,1,calc_extBIC,1818.936
profile,12441860,4,12,1,calcVC,1048.174
profile,12441860,3,12,1,find_qtl,30757.027
profile,12441860,3,12,1,constructX,4591.88
profile,12441860,3,12,1,calc_extBIC,1798.326
profile,12441860,3,12,1,calcVC,1058.718
profile,12441860,2,12,1,find_qtl,30605.076
profile,12441860,2,12,1,constructX,4612.899
profile,12441860,2,12,1,calc_extBIC,1915.802
profile,12441860,2,12,1,calcVC,1193.066
profile,12441860,1,12,1,invMMt,193.461
profile,12441860,1,12,1,find_qtl,38041.042
profile,12441860,1,12,1,constructX,0.09
profile,12441860,1,12,1,calc_extBIC,1895.225
profile,12441860,1,12,1,calcVC,1423.559
profile,12441860,1,12,1,MMt,10104.955
profile,12441859,4,10,1,find_qtl,30763.295
profile,12441859,4,10,1,constructX,4684
profile,12441859,4,10,1,calc_extBIC,1875.256
profile,12441859,4,10,1,calcVC,1062.168
profile,12441859,3,10,1,find_qtl,30746.507
profile,12441859,3,10,1,constructX,4700.069
profile,12441859,3,10,1,calc_extBIC,1858.491
profile,12441859,3,10,1,calcVC,1098.122
profile,12441859,2,10,1,find_qtl,30590.304
profile,12441859,2,10,1,constructX,4713.951
profile,12441859,2,10,1,calc_extBIC,1949.294
profile,12441859,2,10,1,calcVC,1222.325
profile,12441859,1,10,1,invMMt,235.996
profile,12441859,1,10,1,find_qtl,31936.885
profile,12441859,1,10,1,constructX,0.089
profile,12441859,1,10,1,calc_extBIC,1961.249
profile,12441859,1,10,1,calcVC,1630.442
profile,12441859,1,10,1,MMt,9489.79
profile,12441858,4,8,1,find_qtl,33272.553
profile,12441858,4,8,1,constructX,4951.006
profile,12441858,4,8,1,calc_extBIC,1870.807
profile,12441858,4,8,1,calcVC,1086.484
profile,12441858,3,8,1,find_qtl,33158.527
profile,12441858,3,8,1,constructX,4934.55
profile,12441858,3,8,1,calc_extBIC,1823.337
profile,12441858,3,8,1,calcVC,1073.959
profile,12441858,2,8,1,find_qtl,32900.773
profile,12441858,2,8,1,constructX,4975.764
profile,12441858,2,8,1,calc_extBIC,1983.137
profile,12441858,2,8,1,calcVC,1262.437
profile,12441858,1,8,1,invMMt,187.335
profile,12441858,1,8,1,find_qtl,32850.153
profile,12441858,1,8,1,constructX,0.082
profile,12441858,1,8,1,calc_extBIC,1949.815
profile,12441858,1,8,1,calcVC,1467.368
profile,12441858,1,8,1,MMt,9439.349
profile,12441857,4,4,1,find_qtl,30237.129
profile,12441857,4,4,1,constructX,4596.726
profile,12441857,4,4,1,calc_extBIC,1991.302
profile,12441857,4,4,1,calcVC,1117.725
profile,12441857,3,4,1,find_qtl,31617.449
profile,12441857,3,4,1,constructX,4587.105
profile,12441857,3,4,1,calc_extBIC,1937.769
profile,12441857,3,4,1,calcVC,1132.312
profile,12441857,2,4,1,find_qtl,30375.531
profile,12441857,2,4,1,constructX,4624.155
profile,12441857,2,4,1,calc_extBIC,2103.519
profile,12441857,2,4,1,calcVC,1296.201
profile,12441857,1,4,1,invMMt,210.251
profile,12441857,1,4,1,find_qtl,31472.643
profile,12441857,1,4,1,constructX,0.077
profile,12441857,1,4,1,calc_extBIC,2003.746
profile,12441857,1,4,1,calcVC,1501.622
profile,12441857,1,4,1,MMt,9165.053
profile,12441856,4,2,1,find_qtl,32395.007
profile,12441856,4,2,1,constructX,4752.827
profile,12441856,4,2,1,calc_extBIC,2384.162
profile,12441856,4,2,1,calcVC,1351.457
profile,12441856,3,2,1,find_qtl,32772.485
profile,12441856,3,2,1,constructX,4684.943
profile,12441856,3,2,1,calc_extBIC,2362.043
profile,12441856,3,2,1,calcVC,1330.811
profile,12441856,2,2,1,find_qtl,32739.843
profile,12441856,2,2,1,constructX,4715.15
profile,12441856,2,2,1,calc_extBIC,2440.19
profile,12441856,2,2,1,calcVC,1482.555
profile,12441856,1,2,1,invMMt,254.245
profile,12441856,1,2,1,find_qtl,32189.707
profile,12441856,1,2,1,constructX,0.08
profile,12441856,1,2,1,calc_extBIC,2423.367
profile,12441856,1,2,1,calcVC,1717.784
profile,12441856,1,2,1,MMt,9251.352
profile,12441854,4,1,1,find_qtl,37537.284
profile,12441854,4,1,1,constructX,4947.79
profile,12441854,4,1,1,calc_extBIC,3221.296
profile,12441854,4,1,1,calcVC,1770.884
profile,12441854,3,1,1,find_qtl,35764.012
profile,12441854,3,1,1,constructX,4924.646
profile,12441854,3,1,1,calc_extBIC,3174.735
profile,12441854,3,1,1,calcVC,1775.807
profile,12441854,2,1,1,find_qtl,37070.423
profile,12441854,2,1,1,constructX,4925.705
profile,12441854,2,1,1,calc_extBIC,3309.666
profile,12441854,2,1,1,calcVC,1937.47
profile,12441854,1,1,1,invMMt,366.272
profile,12441854,1,1,1,find_qtl,37919.191
profile,12441854,1,1,1,constructX,0.109
profile,12441854,1,1,1,calc_extBIC,3295.762
profile,12441854,1,1,1,calcVC,2230.893
profile,12441854,1,1,1,MMt,9794.346
profile,12441852,4,14,1,find_qtl,25807.556
profile,12441852,4,14,1,constructX,3120.452
profile,12441852,4,14,1,calc_extBIC,1727.458
profile,12441852,4,14,1,calcVC,964.872
profile,12441852,3,14,1,find_qtl,25614.332
profile,12441852,3,14,1,constructX,3137.759
profile,12441852,3,14,1,calc_extBIC,1720.545
profile,12441852,3,14,1,calcVC,979.386
profile,12441852,2,14,1,find_qtl,25550.006
profile,12441852,2,14,1,constructX,3126.161
profile,12441852,2,14,1,calc_extBIC,1811.309
profile,12441852,2,14,1,calcVC,1139.764
profile,12441852,1,14,1,invMMt,180.963
profile,12441852,1,14,1,find_qtl,26190.362
profile,12441852,1,14,1,constructX,0.083
profile,12441852,1,14,1,calc_extBIC,1803.114
profile,12441852,1,14,1,calcVC,1362.622
profile,12441852,1,14,1,MMt,7433.367
profile,12441851,4,12,1,find_qtl,31690.106
profile,12441851,4,12,1,constructX,4554.143
profile,12441851,4,12,1,calc_extBIC,1849.469
profile,12441851,4,12,1,calcVC,1040.471
profile,12441851,3,12,1,find_qtl,32340.28
profile,12441851,3,12,1,constructX,4607.479
profile,12441851,3,12,1,calc_extBIC,1807.536
profile,12441851,3,12,1,calcVC,1058.005
profile,12441851,2,12,1,find_qtl,32279.468
profile,12441851,2,12,1,constructX,4580.935
profile,12441851,2,12,1,calc_extBIC,1902.389
profile,12441851,2,12,1,calcVC,1210.954
profile,12441851,1,12,1,invMMt,179.869
profile,12441851,1,12,1,find_qtl,32720.387
profile,12441851,1,12,1,constructX,0.08
profile,12441851,1,12,1,calc_extBIC,1846.997
profile,12441851,1,12,1,calcVC,1435.159
profile,12441851,1,12,1,MMt,8980.289
profile,12441850,4,10,1,find_qtl,31215.696
profile,12441850,4,10,1,constructX,4689.957
profile,12441850,4,10,1,calc_extBIC,1866.5
profile,12441850,4,10,1,calcVC,1071.953
profile,12441850,3,10,1,find_qtl,30387.688
profile,12441850,3,10,1,constructX,4688.523
profile,12441850,3,10,1,calc_extBIC,1828.07
profile,12441850,3,10,1,calcVC,1074.309
profile,12441850,2,10,1,find_qtl,30483.774
profile,12441850,2,10,1,constructX,4687.297
profile,12441850,2,10,1,calc_extBIC,1935.291
profile,12441850,2,10,1,calcVC,1224.53
profile,12441850,1,10,1,invMMt,235.579
profile,12441850,1,10,1,find_qtl,31480.26
profile,12441850,1,10,1,constructX,0.09
