profile,slurm_id1,run_id,itnum,ncpu,ngpu,function,time_ms
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,1,12,4,find_qtl,65258.408
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,1,12,4,constructX,0.09
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,1,12,4,calc_extBIC,1852.914
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,1,12,4,calcVC,1454.57
profile,eagle_REPEAT_cs_CRAN_12335730,12335740,1,12,4,MMt,55548.294
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,4,10,4,find_qtl,63037.498
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,4,10,4,constructX,23991.547
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,4,10,4,calc_extBIC,1838.318
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,4,10,4,calcVC,1054.478
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,3,10,4,find_qtl,64887.148
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,3,10,4,constructX,23763.53
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,3,10,4,calc_extBIC,1802.225
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,3,10,4,calcVC,1046.102
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,2,10,4,find_qtl,63135.497
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,2,10,4,constructX,23723.022
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,2,10,4,calc_extBIC,1870.152
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,2,10,4,calcVC,1199.037
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,1,10,4,invMMt,170.829
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,1,10,4,find_qtl,64797.264
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,1,10,4,constructX,0.073
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,1,10,4,calc_extBIC,1824.954
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,1,10,4,calcVC,1401.42
profile,eagle_REPEAT_cs_CRAN_12335730,12335739,1,10,4,MMt,54770.584
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,4,8,4,find_qtl,77094.686
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,4,8,4,constructX,30488.067
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,4,8,4,calc_extBIC,1944.667
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,4,8,4,calcVC,1143.826
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,3,8,4,find_qtl,77027.879
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,3,8,4,constructX,31076.342
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,3,8,4,calc_extBIC,1917.08
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,3,8,4,calcVC,1146.065
