profile,run_id,itnum,ncpu,ngpu,function,time_ms
profile,12676506,1,14,2,invMMt,179
profile,12676506,1,14,2,find_qtl,29632.953
profile,12676506,1,14,2,constructX,0.086
profile,12676506,1,14,2,calc_extBIC,1787.176
profile,12676506,1,14,2,calcVC,1384.565
profile,12676506,1,14,2,calcMMt,9233.95
profile,12676505,4,12,2,find_qtl,30227.892
profile,12676505,4,12,2,constructX,4771.495
profile,12676505,4,12,2,calc_extBIC,1800.125
profile,12676505,4,12,2,calcVC,1002.618
profile,12676505,3,12,2,find_qtl,30240.345
profile,12676505,3,12,2,constructX,4761.907
profile,12676505,3,12,2,calc_extBIC,1775.126
profile,12676505,3,12,2,calcVC,1012.724
profile,12676505,2,12,2,find_qtl,30202.109
profile,12676505,2,12,2,constructX,4766.489
profile,12676505,2,12,2,calc_extBIC,1886.217
profile,12676505,2,12,2,calcVC,1167.774
profile,12676505,1,12,2,invMMt,179.277
profile,12676505,1,12,2,find_qtl,31498.966
profile,12676505,1,12,2,constructX,0.084
profile,12676505,1,12,2,calc_extBIC,1833.923
profile,12676505,1,12,2,calcVC,1394.395
profile,12676505,1,12,2,calcMMt,9411.888
profile,12676504,4,10,2,find_qtl,32254.517
profile,12676504,4,10,2,constructX,5135.935
profile,12676504,4,10,2,calc_extBIC,1895.657
profile,12676504,4,10,2,calcVC,1162.1
profile,12676504,3,10,2,find_qtl,32044.642
profile,12676504,3,10,2,constructX,4917.709
profile,12676504,3,10,2,calc_extBIC,1849.269
profile,12676504,3,10,2,calcVC,1163.231
profile,12676504,2,10,2,find_qtl,31504.327
profile,12676504,2,10,2,constructX,4906.232
profile,12676504,2,10,2,calc_extBIC,2017.628
profile,12676504,2,10,2,calcVC,1333.434
profile,12676504,1,10,2,invMMt,251.006
profile,12676504,1,10,2,find_qtl,32465.27
profile,12676504,1,10,2,constructX,0.105
profile,12676504,1,10,2,calc_extBIC,1920.599
profile,12676504,1,10,2,calcVC,1537.052
profile,12676504,1,10,2,calcMMt,9736.794
profile,12676503,4,8,2,find_qtl,29531.926
profile,12676503,4,8,2,constructX,4626.196
profile,12676503,4,8,2,calc_extBIC,1807.177
profile,12676503,4,8,2,calcVC,1012.449
profile,12676503,3,8,2,find_qtl,29632.305
profile,12676503,3,8,2,constructX,4627.714
profile,12676503,3,8,2,calc_extBIC,1781.341
profile,12676503,3,8,2,calcVC,1011.009
profile,12676503,2,8,2,find_qtl,29705.087
profile,12676503,2,8,2,constructX,4630.388
profile,12676503,2,8,2,calc_extBIC,1879.334
profile,12676503,2,8,2,calcVC,1189.137
profile,12676503,1,8,2,invMMt,184.77
profile,12676503,1,8,2,find_qtl,30014.754
profile,12676503,1,8,2,constructX,0.078
profile,12676503,1,8,2,calc_extBIC,1828.336
profile,12676503,1,8,2,calcVC,1411.42
profile,12676503,1,8,2,calcMMt,9276.828
profile,12676502,4,4,2,find_qtl,29662.315
profile,12676502,4,4,2,constructX,4617.072
profile,12676502,4,4,2,calc_extBIC,1930.653
profile,12676502,4,4,2,calcVC,1074.331
profile,12676502,3,4,2,find_qtl,29688.024
profile,12676502,3,4,2,constructX,4619.518
profile,12676502,3,4,2,calc_extBIC,1919.666
profile,12676502,3,4,2,calcVC,1085.863
profile,12676502,2,4,2,find_qtl,29518.725
profile,12676502,2,4,2,constructX,4618.588
profile,12676502,2,4,2,calc_extBIC,2004.964
profile,12676502,2,4,2,calcVC,1233.605
profile,12676502,1,4,2,invMMt,203.402
profile,12676502,1,4,2,find_qtl,30326.057
profile,12676502,1,4,2,constructX,0.08
profile,12676502,1,4,2,calc_extBIC,1960.595
profile,12676502,1,4,2,calcVC,1462.854
profile,12676502,1,4,2,calcMMt,9225.896
profile,12676501,4,2,2,find_qtl,30659.806
profile,12676501,4,2,2,constructX,4691.199
profile,12676501,4,2,2,calc_extBIC,2278.67
profile,12676501,4,2,2,calcVC,1255.088
profile,12676501,3,2,2,find_qtl,30595.068
profile,12676501,3,2,2,constructX,4680.473
profile,12676501,3,2,2,calc_extBIC,2283.773
profile,12676501,3,2,2,calcVC,1245.896
profile,12676501,2,2,2,find_qtl,30483.523
profile,12676501,2,2,2,constructX,4681.571
profile,12676501,2,2,2,calc_extBIC,2354.842
profile,12676501,2,2,2,calcVC,1405.087
profile,12676501,1,2,2,invMMt,234.655
profile,12676501,1,2,2,find_qtl,31015.229
profile,12676501,1,2,2,constructX,0.074
profile,12676501,1,2,2,calc_extBIC,2299.7
profile,12676501,1,2,2,calcVC,1598.316
profile,12676501,1,2,2,calcMMt,9097.048
profile,12676500,4,1,2,find_qtl,33113.634
profile,12676500,4,1,2,constructX,4698.207
profile,12676500,4,1,2,calc_extBIC,3205.364
profile,12676500,4,1,2,calcVC,1763.477
profile,12676500,3,1,2,find_qtl,32998.438
profile,12676500,3,1,2,constructX,4707.331
profile,12676500,3,1,2,calc_extBIC,3152.978
profile,12676500,3,1,2,calcVC,1761.558
profile,12676500,2,1,2,find_qtl,33111.958
profile,12676500,2,1,2,constructX,4688.918
profile,12676500,2,1,2,calc_extBIC,3261.84
profile,12676500,2,1,2,calcVC,1908.668
profile,12676500,1,1,2,invMMt,326.867
profile,12676500,1,1,2,find_qtl,34121.156
profile,12676500,1,1,2,constructX,0.097
profile,12676500,1,1,2,calc_extBIC,3261.71
profile,12676500,1,1,2,calcVC,2159.283
profile,12676500,1,1,2,calcMMt,9436.295
profile,12676497,4,14,2,find_qtl,31671.397
profile,12676497,4,14,2,constructX,5142.1
profile,12676497,4,14,2,calc_extBIC,1864.563
profile,12676497,4,14,2,calcVC,1124.093
profile,12676497,3,14,2,find_qtl,32387.193
profile,12676497,3,14,2,constructX,4870.086
profile,12676497,3,14,2,calc_extBIC,1818.471
profile,12676497,3,14,2,calcVC,1123.948
profile,12676497,2,14,2,find_qtl,31320.875
profile,12676497,2,14,2,constructX,4928.05
profile,12676497,2,14,2,calc_extBIC,1987.331
profile,12676497,2,14,2,calcVC,1295.019
profile,12676497,1,14,2,invMMt,238.286
profile,12676497,1,14,2,find_qtl,32268.292
profile,12676497,1,14,2,constructX,0.183
profile,12676497,1,14,2,calc_extBIC,1900.674
profile,12676497,1,14,2,calcVC,1561.358
profile,12676497,1,14,2,calcMMt,10350.119
profile,12676496,4,12,2,find_qtl,29606.152
profile,12676496,4,12,2,constructX,4636.563
profile,12676496,4,12,2,calc_extBIC,1775.979
profile,12676496,4,12,2,calcVC,1000.914
profile,12676496,3,12,2,find_qtl,29680.892
profile,12676496,3,12,2,constructX,4641.054
profile,12676496,3,12,2,calc_extBIC,1777.211
profile,12676496,3,12,2,calcVC,999.271
profile,12676496,2,12,2,find_qtl,29799.852
profile,12676496,2,12,2,constructX,4650.667
profile,12676496,2,12,2,calc_extBIC,1849.798
profile,12676496,2,12,2,calcVC,1172.639
profile,12676496,1,12,2,invMMt,181.136
profile,12676496,1,12,2,find_qtl,29703.641
profile,12676496,1,12,2,constructX,0.082
profile,12676496,1,12,2,calc_extBIC,1783.889
profile,12676496,1,12,2,calcVC,1399.274
profile,12676496,1,12,2,calcMMt,9238.976
profile,12676495,4,10,2,find_qtl,29794.215
profile,12676495,4,10,2,constructX,4616.056
profile,12676495,4,10,2,calc_extBIC,1786.418
profile,12676495,4,10,2,calcVC,1006.359
profile,12676495,3,10,2,find_qtl,28806.689
profile,12676495,3,10,2,constructX,4619.216
profile,12676495,3,10,2,calc_extBIC,1750.426
