profile,slurm_id1,run_id,itnum,ncpu,ngpu,function,time_ms
profile,12110290,12110303,2,8,0,constructX,26025.478
profile,12110290,12110303,2,8,0,calc_extBIC,1959.38
profile,12110290,12110303,2,8,0,calcVC,1226.42
profile,12110290,12110303,1,8,0,invMMt,176.626
profile,12110290,12110303,1,8,0,find_qtl,40248.572
profile,12110290,12110303,1,8,0,constructX,0.138
profile,12110290,12110303,1,8,0,calc_extBIC,1967.296
profile,12110290,12110303,1,8,0,calcVC,1575.135
profile,12110290,12110303,1,8,0,MMt,35553.517
profile,12110290,12110302,4,4,0,find_qtl,50564.808
profile,12110290,12110302,4,4,0,constructX,21615.116
profile,12110290,12110302,4,4,0,calc_extBIC,2164.05
profile,12110290,12110302,4,4,0,calcVC,1234.657
profile,12110290,12110302,3,4,0,find_qtl,55749.858
profile,12110290,12110302,3,4,0,constructX,21934.392
profile,12110290,12110302,3,4,0,calc_extBIC,2106.579
profile,12110290,12110302,3,4,0,calcVC,1303.749
profile,12110290,12110302,2,4,0,find_qtl,53230.623
profile,12110290,12110302,2,4,0,constructX,21939.267
profile,12110290,12110302,2,4,0,calc_extBIC,2185.918
profile,12110290,12110302,2,4,0,calcVC,1360.13
profile,12110290,12110302,1,4,0,invMMt,288.234
profile,12110290,12110302,1,4,0,find_qtl,55806.981
profile,12110290,12110302,1,4,0,constructX,0.138
profile,12110290,12110302,1,4,0,calc_extBIC,2288.715
profile,12110290,12110302,1,4,0,calcVC,1765.172
profile,12110290,12110302,1,4,0,MMt,45485.953
profile,12110290,12110301,4,2,0,find_qtl,86247.442
profile,12110290,12110301,4,2,0,constructX,28753.688
profile,12110290,12110301,4,2,0,calc_extBIC,2840.49
profile,12110290,12110301,4,2,0,calcVC,1698.429
profile,12110290,12110301,3,2,0,find_qtl,88544.796
profile,12110290,12110301,3,2,0,constructX,27395.085
profile,12110290,12110301,3,2,0,calc_extBIC,2710.58
profile,12110290,12110301,3,2,0,calcVC,1724.113
profile,12110290,12110301,2,2,0,find_qtl,85763.658
profile,12110290,12110301,2,2,0,constructX,23476.344
profile,12110290,12110301,2,2,0,calc_extBIC,2929.921
profile,12110290,12110301,2,2,0,calcVC,1726.495
profile,12110290,12110301,1,2,0,invMMt,271.473
profile,12110290,12110301,1,2,0,find_qtl,87527.374
profile,12110290,12110301,1,2,0,constructX,0.136
profile,12110290,12110301,1,2,0,calc_extBIC,2875.61
profile,12110290,12110301,1,2,0,calcVC,1967.72
profile,12110290,12110301,1,2,0,MMt,67305.056
profile,12110290,12110300,4,1,0,find_qtl,143639.887
profile,12110290,12110300,4,1,0,constructX,22105.075
profile,12110290,12110300,4,1,0,calc_extBIC,3877.615
profile,12110290,12110300,4,1,0,calcVC,2343.257
profile,12110290,12110300,3,1,0,find_qtl,137661.757
profile,12110290,12110300,3,1,0,constructX,22246.641
profile,12110290,12110300,3,1,0,calc_extBIC,3750.5
profile,12110290,12110300,3,1,0,calcVC,2434.653
